Name,Age,Nationality,Preferred Positions,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys
G. Mera,27,Colombia,CB ,70,50.0,81.0,32.0,42.0,40.0,61.0,30.0,25.0,43.0,23.0,23.0,9.0,14.0,14.0,9.0,11.0,77.0,74.0,35.0,46.0,19.0,66.0,39.0,24.0,64.0,47.0,37.0,62.0,48.0,70.0,74.0,90.0,35.0,30.0
O. Kemen,20,France,CDM CM ,70,75.0,75.0,72.0,74.0,70.0,68.0,55.0,52.0,72.0,56.0,53.0,16.0,9.0,6.0,11.0,9.0,64.0,68.0,81.0,69.0,63.0,58.0,57.0,57.0,63.0,73.0,74.0,64.0,74.0,80.0,68.0,80.0,69.0,50.0
Lourival Dinisco,29,Brazil,CB ,70,65.0,63.0,59.0,55.0,52.0,60.0,44.0,45.0,41.0,52.0,43.0,13.0,10.0,7.0,8.0,10.0,76.0,67.0,72.0,71.0,54.0,71.0,61.0,23.0,62.0,61.0,62.0,67.0,60.0,56.0,73.0,77.0,41.0,31.0
Jon Bautista,21,Spain,ST ,70,63.0,35.0,62.0,68.0,69.0,62.0,47.0,50.0,67.0,78.0,57.0,9.0,11.0,9.0,11.0,13.0,67.0,16.0,64.0,41.0,75.0,15.0,70.0,68.0,64.0,65.0,73.0,16.0,62.0,53.0,22.0,50.0,52.0,65.0
Jairo Farnias,29,Brazil,GK ,70,57.0,35.0,66.0,65.0,8.0,59.0,11.0,11.0,7.0,7.0,10.0,64.0,68.0,69.0,68.0,75.0,7.0,11.0,74.0,15.0,6.0,8.0,14.0,11.0,71.0,18.0,14.0,11.0,68.0,34.0,10.0,58.0,51.0,6.0
N. Milenković,19,Serbia,CB ,70,47.0,84.0,39.0,41.0,37.0,71.0,29.0,27.0,25.0,19.0,23.0,8.0,7.0,13.0,7.0,14.0,75.0,62.0,71.0,47.0,28.0,71.0,35.0,22.0,57.0,55.0,38.0,63.0,50.0,70.0,74.0,90.0,31.0,25.0
Héctor Verdés,33,Spain,CB ,70,37.0,90.0,33.0,54.0,43.0,61.0,31.0,41.0,34.0,20.0,36.0,9.0,11.0,14.0,6.0,6.0,68.0,64.0,78.0,50.0,23.0,69.0,32.0,27.0,57.0,56.0,74.0,70.0,36.0,58.0,71.0,89.0,38.0,16.0
Luis García,36,Spain,CAM CM ,70,56.0,71.0,62.0,72.0,72.0,79.0,68.0,76.0,69.0,64.0,74.0,9.0,12.0,13.0,11.0,11.0,61.0,68.0,64.0,71.0,71.0,37.0,75.0,72.0,65.0,72.0,72.0,42.0,52.0,65.0,46.0,60.0,73.0,68.0
A. Malarz,37,Poland,GK ,70,25.0,39.0,21.0,43.0,33.0,20.0,41.0,13.0,29.0,12.0,21.0,69.0,62.0,59.0,69.0,74.0,16.0,22.0,35.0,45.0,14.0,22.0,35.0,13.0,75.0,56.0,19.0,26.0,23.0,28.0,21.0,44.0,56.0,15.0
L. Cooper,25,Scotland,CB ,70,57.0,62.0,57.0,69.0,61.0,61.0,45.0,31.0,53.0,26.0,26.0,10.0,12.0,10.0,9.0,15.0,68.0,70.0,81.0,62.0,38.0,68.0,34.0,39.0,61.0,65.0,52.0,70.0,52.0,70.0,70.0,77.0,45.0,33.0
E. Blanco,27,Colombia,CM CDM ,70,70.0,80.0,65.0,63.0,68.0,67.0,58.0,49.0,54.0,53.0,40.0,10.0,14.0,15.0,9.0,6.0,63.0,72.0,68.0,64.0,51.0,69.0,52.0,55.0,61.0,68.0,65.0,70.0,74.0,79.0,71.0,81.0,53.0,55.0
G. Grozav,26,Romania,LW CAM LM ,70,79.0,52.0,68.0,54.0,73.0,62.0,57.0,65.0,72.0,69.0,62.0,10.0,11.0,10.0,14.0,8.0,67.0,43.0,70.0,59.0,64.0,24.0,61.0,67.0,66.0,70.0,70.0,25.0,77.0,73.0,27.0,71.0,68.0,66.0
T. Leibold,23,Germany,CDM LM LB ,70,87.0,75.0,85.0,85.0,65.0,65.0,68.0,72.0,73.0,55.0,52.0,15.0,10.0,14.0,13.0,7.0,56.0,68.0,78.0,59.0,54.0,59.0,61.0,68.0,66.0,69.0,64.0,68.0,84.0,73.0,68.0,62.0,63.0,42.0
F. Mladenović,25,Serbia,LB ,70,75.0,73.0,72.0,69.0,68.0,62.0,73.0,66.0,66.0,38.0,44.0,15.0,8.0,13.0,11.0,14.0,56.0,69.0,65.0,49.0,65.0,70.0,43.0,61.0,68.0,68.0,69.0,69.0,73.0,67.0,67.0,49.0,48.0,55.0
S. Popov,26,Bulgaria,RB ,70,68.0,64.0,52.0,53.0,63.0,68.0,71.0,73.0,69.0,62.0,65.0,9.0,12.0,14.0,13.0,8.0,66.0,70.0,76.0,62.0,63.0,72.0,30.0,64.0,72.0,64.0,64.0,71.0,75.0,65.0,69.0,72.0,53.0,51.0
Y. Kakitani,27,Japan,LM ,70,81.0,28.0,78.0,74.0,73.0,44.0,60.0,57.0,69.0,63.0,30.0,10.0,8.0,15.0,8.0,6.0,57.0,20.0,84.0,59.0,68.0,11.0,56.0,74.0,69.0,69.0,69.0,18.0,82.0,69.0,18.0,62.0,58.0,61.0
L. Landre,25,France,CB ,70,40.0,73.0,56.0,71.0,59.0,66.0,35.0,33.0,48.0,22.0,24.0,15.0,11.0,12.0,12.0,12.0,69.0,69.0,78.0,52.0,34.0,70.0,46.0,50.0,54.0,65.0,56.0,66.0,78.0,62.0,74.0,68.0,49.0,22.0
C. Fiore,22,Belgium,CB LB ,70,65.0,71.0,64.0,67.0,61.0,61.0,70.0,42.0,54.0,26.0,35.0,7.0,13.0,13.0,16.0,14.0,69.0,67.0,71.0,72.0,36.0,68.0,31.0,48.0,68.0,68.0,50.0,72.0,68.0,74.0,71.0,70.0,62.0,37.0
F. Rodríguez,35,Mexico,CB ,70,35.0,84.0,32.0,33.0,50.0,65.0,36.0,48.0,45.0,37.0,32.0,11.0,6.0,9.0,12.0,15.0,72.0,68.0,62.0,50.0,50.0,70.0,53.0,45.0,61.0,60.0,63.0,68.0,39.0,46.0,70.0,80.0,49.0,31.0
T. Kristensen,34,Denmark,CM CDM ,70,62.0,73.0,47.0,52.0,70.0,69.0,63.0,64.0,64.0,56.0,54.0,14.0,10.0,13.0,12.0,14.0,58.0,70.0,76.0,70.0,59.0,64.0,61.0,65.0,73.0,75.0,73.0,52.0,52.0,81.0,62.0,75.0,66.0,50.0
A. Balzano,31,Italy,LB RB ,70,70.0,74.0,71.0,80.0,57.0,74.0,65.0,59.0,53.0,30.0,24.0,15.0,14.0,12.0,8.0,8.0,55.0,69.0,65.0,58.0,48.0,73.0,36.0,58.0,66.0,64.0,66.0,75.0,70.0,77.0,76.0,75.0,31.0,40.0
G. Bellusci,27,Italy,CB ,70,58.0,84.0,62.0,65.0,60.0,66.0,38.0,48.0,56.0,40.0,60.0,9.0,6.0,14.0,8.0,15.0,64.0,72.0,58.0,59.0,36.0,68.0,40.0,36.0,66.0,59.0,66.0,69.0,60.0,68.0,72.0,74.0,50.0,26.0
Z. Brkić,30,Serbia,GK ,70,40.0,14.0,40.0,34.0,23.0,37.0,12.0,12.0,17.0,13.0,12.0,71.0,68.0,57.0,71.0,75.0,11.0,14.0,70.0,31.0,10.0,13.0,16.0,11.0,60.0,33.0,18.0,18.0,40.0,36.0,16.0,68.0,36.0,10.0
L. Páez,30,Colombia,ST ,70,67.0,56.0,72.0,59.0,67.0,70.0,42.0,38.0,70.0,72.0,63.0,10.0,14.0,13.0,12.0,6.0,68.0,25.0,70.0,44.0,65.0,29.0,75.0,72.0,66.0,54.0,74.0,27.0,66.0,63.0,30.0,71.0,57.0,68.0
D. González,34,Colombia,GK ,70,34.0,44.0,44.0,26.0,25.0,35.0,12.0,14.0,11.0,12.0,18.0,66.0,72.0,66.0,74.0,68.0,11.0,24.0,62.0,22.0,12.0,14.0,15.0,15.0,63.0,23.0,20.0,12.0,37.0,26.0,11.0,72.0,34.0,13.0
H. Van Crombrugge,24,Belgium,GK ,70,37.0,34.0,45.0,43.0,22.0,43.0,12.0,16.0,12.0,11.0,13.0,72.0,67.0,66.0,66.0,73.0,11.0,14.0,67.0,38.0,13.0,11.0,26.0,11.0,65.0,39.0,38.0,11.0,37.0,32.0,17.0,67.0,39.0,16.0
Alberto,24,Spain,CB CDM ,70,68.0,79.0,61.0,71.0,65.0,62.0,42.0,45.0,54.0,42.0,53.0,7.0,13.0,11.0,13.0,8.0,63.0,71.0,71.0,57.0,65.0,70.0,47.0,50.0,64.0,70.0,80.0,61.0,63.0,86.0,73.0,81.0,57.0,31.0
F. Platte,21,Germany,ST ,70,65.0,64.0,55.0,58.0,68.0,59.0,35.0,64.0,64.0,69.0,33.0,11.0,13.0,14.0,14.0,15.0,72.0,22.0,67.0,42.0,61.0,18.0,55.0,70.0,65.0,60.0,71.0,17.0,67.0,59.0,21.0,85.0,54.0,65.0
Salvi,26,Spain,LM RM ,70,87.0,43.0,70.0,83.0,66.0,57.0,71.0,65.0,69.0,67.0,65.0,10.0,12.0,7.0,9.0,6.0,43.0,38.0,60.0,54.0,59.0,26.0,54.0,62.0,63.0,67.0,62.0,41.0,87.0,74.0,39.0,46.0,71.0,54.0
M. Gaus,27,Germany,LWB LM LB ,70,83.0,75.0,69.0,68.0,66.0,64.0,67.0,57.0,64.0,62.0,46.0,6.0,6.0,16.0,10.0,12.0,59.0,62.0,71.0,59.0,61.0,54.0,57.0,63.0,67.0,66.0,68.0,68.0,85.0,90.0,65.0,75.0,60.0,51.0
Y. Toutouh,24,Denmark,RM LM ,70,79.0,59.0,71.0,66.0,72.0,68.0,63.0,62.0,71.0,63.0,59.0,14.0,14.0,7.0,10.0,14.0,63.0,44.0,58.0,65.0,63.0,49.0,45.0,68.0,62.0,68.0,66.0,43.0,78.0,73.0,45.0,73.0,66.0,66.0
R. Maniero,29,Italy,ST ,70,63.0,52.0,71.0,56.0,69.0,70.0,40.0,62.0,59.0,71.0,32.0,8.0,11.0,9.0,9.0,12.0,70.0,20.0,80.0,50.0,62.0,11.0,74.0,75.0,68.0,60.0,69.0,13.0,61.0,73.0,18.0,81.0,55.0,62.0
M. Sadlok,28,Poland,LB ,70,77.0,71.0,59.0,57.0,64.0,66.0,69.0,73.0,61.0,46.0,66.0,15.0,7.0,8.0,11.0,12.0,66.0,68.0,81.0,58.0,67.0,70.0,61.0,45.0,59.0,61.0,73.0,67.0,75.0,81.0,70.0,75.0,59.0,34.0
S. Sarıoğlu,32,Turkey,RB ,70,77.0,88.0,78.0,86.0,70.0,63.0,78.0,58.0,74.0,44.0,47.0,6.0,6.0,9.0,11.0,11.0,38.0,70.0,73.0,68.0,63.0,67.0,54.0,64.0,68.0,69.0,84.0,67.0,76.0,78.0,65.0,49.0,54.0,57.0
O. Vlachodimos,23,Germany,GK ,70,42.0,32.0,36.0,38.0,23.0,36.0,15.0,17.0,13.0,12.0,13.0,72.0,67.0,65.0,67.0,75.0,13.0,23.0,67.0,24.0,16.0,11.0,18.0,14.0,65.0,27.0,19.0,12.0,44.0,39.0,14.0,68.0,26.0,14.0
L. Trałka,33,Poland,CDM ,70,60.0,77.0,57.0,61.0,61.0,64.0,56.0,61.0,58.0,55.0,56.0,12.0,12.0,15.0,11.0,16.0,69.0,71.0,71.0,68.0,56.0,67.0,61.0,65.0,59.0,69.0,60.0,65.0,46.0,82.0,70.0,78.0,67.0,53.0
A. Richards,26,Wales,LB RB ,70,72.0,56.0,72.0,62.0,66.0,60.0,68.0,53.0,65.0,35.0,42.0,11.0,6.0,6.0,8.0,9.0,60.0,63.0,65.0,66.0,50.0,71.0,50.0,57.0,64.0,69.0,56.0,71.0,70.0,74.0,72.0,76.0,50.0,36.0
S. Dursun,25,Germany,ST ,70,63.0,74.0,64.0,48.0,65.0,61.0,48.0,57.0,67.0,71.0,47.0,8.0,6.0,10.0,13.0,14.0,76.0,17.0,57.0,44.0,58.0,21.0,68.0,74.0,65.0,59.0,73.0,19.0,59.0,58.0,31.0,84.0,52.0,69.0
M. Yattara,23,Guinea,ST ,70,76.0,46.0,73.0,70.0,67.0,72.0,51.0,54.0,68.0,69.0,38.0,8.0,6.0,12.0,11.0,8.0,70.0,22.0,86.0,49.0,59.0,17.0,68.0,65.0,64.0,67.0,74.0,14.0,83.0,60.0,25.0,81.0,59.0,57.0
Jorginho,21,Portugal,LW RW ,70,79.0,53.0,83.0,69.0,73.0,67.0,62.0,52.0,71.0,66.0,31.0,11.0,15.0,7.0,10.0,16.0,33.0,30.0,68.0,58.0,56.0,14.0,59.0,69.0,76.0,65.0,74.0,20.0,78.0,81.0,24.0,53.0,63.0,67.0
J. Aldegrisa,29,Chile,LB ,70,82.0,61.0,62.0,74.0,64.0,70.0,73.0,62.0,61.0,52.0,48.0,10.0,7.0,8.0,7.0,12.0,59.0,64.0,66.0,71.0,62.0,65.0,74.0,60.0,71.0,73.0,59.0,67.0,79.0,67.0,72.0,62.0,59.0,54.0
Victor Fachinhas,33,Brazil,GK ,70,33.0,39.0,39.0,37.0,17.0,35.0,11.0,9.0,9.0,8.0,23.0,69.0,73.0,58.0,63.0,74.0,9.0,13.0,77.0,18.0,9.0,8.0,24.0,13.0,66.0,20.0,23.0,9.0,42.0,33.0,8.0,59.0,62.0,8.0
Alfa Semedo,19,Guinea Bissau,CDM ,70,66.0,80.0,54.0,51.0,66.0,68.0,49.0,55.0,58.0,39.0,44.0,14.0,14.0,7.0,11.0,9.0,68.0,72.0,56.0,60.0,72.0,65.0,47.0,58.0,73.0,68.0,79.0,63.0,72.0,72.0,73.0,84.0,51.0,55.0
K. Leerdam,27,Suriname,CM LB RB ,70,76.0,70.0,72.0,74.0,70.0,68.0,64.0,59.0,64.0,56.0,52.0,13.0,9.0,7.0,8.0,12.0,73.0,57.0,85.0,65.0,54.0,68.0,43.0,68.0,67.0,69.0,65.0,67.0,76.0,81.0,70.0,69.0,65.0,53.0
Javi Ros,27,Spain,CM CDM ,70,73.0,73.0,82.0,85.0,68.0,65.0,57.0,71.0,59.0,53.0,67.0,16.0,16.0,10.0,6.0,8.0,41.0,64.0,68.0,71.0,70.0,63.0,58.0,67.0,68.0,72.0,71.0,67.0,71.0,81.0,66.0,67.0,73.0,52.0
A. Powell,22,Jamaica,RB ,70,83.0,80.0,82.0,72.0,64.0,60.0,59.0,48.0,72.0,41.0,29.0,8.0,7.0,11.0,8.0,10.0,59.0,67.0,80.0,55.0,48.0,65.0,36.0,63.0,64.0,54.0,62.0,69.0,90.0,79.0,73.0,71.0,57.0,29.0
D. Kamada,20,Japan,CAM ,70,83.0,48.0,84.0,71.0,73.0,61.0,61.0,56.0,72.0,63.0,50.0,6.0,10.0,11.0,6.0,11.0,48.0,28.0,58.0,64.0,53.0,33.0,53.0,64.0,64.0,71.0,55.0,42.0,79.0,76.0,45.0,63.0,69.0,38.0
J. Garner,29,England,ST ,70,76.0,94.0,74.0,76.0,67.0,67.0,49.0,49.0,64.0,69.0,43.0,10.0,15.0,15.0,12.0,15.0,74.0,36.0,93.0,56.0,66.0,36.0,69.0,70.0,66.0,62.0,69.0,35.0,76.0,76.0,49.0,76.0,55.0,64.0
Souza,29,Brazil,CM CDM ,70,68.0,75.0,69.0,59.0,71.0,60.0,67.0,69.0,69.0,56.0,76.0,8.0,7.0,15.0,13.0,14.0,56.0,66.0,60.0,68.0,70.0,65.0,71.0,65.0,75.0,70.0,76.0,65.0,67.0,77.0,65.0,70.0,69.0,64.0
João Vigário,21,Portugal,LM LB ,70,72.0,70.0,74.0,64.0,73.0,67.0,65.0,65.0,74.0,58.0,42.0,12.0,13.0,14.0,11.0,5.0,58.0,67.0,67.0,47.0,72.0,66.0,48.0,61.0,71.0,68.0,70.0,68.0,75.0,75.0,67.0,66.0,65.0,54.0
Manu Herrera,35,Spain,GK ,70,41.0,37.0,55.0,60.0,15.0,45.0,25.0,24.0,13.0,13.0,14.0,69.0,71.0,68.0,71.0,67.0,14.0,26.0,65.0,23.0,12.0,11.0,18.0,15.0,64.0,22.0,25.0,14.0,49.0,32.0,13.0,60.0,24.0,13.0
V. Černý,19,Czech Republic,RW LW ,70,88.0,47.0,90.0,75.0,75.0,62.0,53.0,72.0,75.0,71.0,54.0,11.0,10.0,10.0,11.0,11.0,42.0,35.0,39.0,48.0,60.0,19.0,50.0,60.0,64.0,64.0,68.0,19.0,85.0,63.0,20.0,41.0,60.0,64.0
M. Azira,29,Uganda,CM CDM ,70,64.0,80.0,67.0,69.0,66.0,63.0,54.0,49.0,61.0,51.0,48.0,8.0,9.0,7.0,15.0,9.0,55.0,73.0,70.0,65.0,66.0,65.0,48.0,49.0,61.0,73.0,71.0,62.0,63.0,83.0,70.0,71.0,55.0,57.0
J. Rodríguez,21,Argentina,CB ,70,62.0,64.0,56.0,66.0,56.0,37.0,30.0,22.0,34.0,22.0,25.0,7.0,12.0,15.0,15.0,6.0,73.0,62.0,79.0,35.0,20.0,74.0,37.0,44.0,58.0,58.0,46.0,66.0,66.0,45.0,75.0,75.0,20.0,28.0
M. Jonjić,26,Croatia,CB ,70,65.0,57.0,61.0,42.0,48.0,51.0,38.0,29.0,45.0,45.0,25.0,8.0,11.0,15.0,6.0,8.0,74.0,66.0,70.0,53.0,40.0,74.0,34.0,39.0,64.0,57.0,38.0,73.0,71.0,62.0,74.0,70.0,35.0,33.0
N. Vujadinović,30,Montenegro,CB ,70,50.0,68.0,34.0,38.0,60.0,69.0,53.0,33.0,39.0,23.0,52.0,14.0,13.0,13.0,13.0,12.0,79.0,67.0,63.0,52.0,35.0,71.0,65.0,41.0,56.0,58.0,34.0,67.0,48.0,69.0,70.0,79.0,43.0,14.0
E. Baderia,29,Chile,LB ,70,77.0,62.0,72.0,72.0,76.0,65.0,72.0,74.0,75.0,54.0,51.0,11.0,10.0,14.0,9.0,7.0,52.0,59.0,68.0,68.0,53.0,63.0,55.0,68.0,72.0,66.0,62.0,69.0,68.0,76.0,71.0,70.0,59.0,59.0
David Fernández,32,Spain,CB ,70,59.0,46.0,57.0,58.0,61.0,78.0,50.0,56.0,41.0,34.0,38.0,9.0,11.0,8.0,15.0,16.0,71.0,77.0,67.0,66.0,42.0,70.0,36.0,39.0,63.0,64.0,72.0,71.0,53.0,70.0,74.0,72.0,54.0,41.0
Mejías,28,Spain,GK ,70,62.0,23.0,61.0,51.0,28.0,20.0,13.0,20.0,9.0,4.0,12.0,69.0,71.0,73.0,68.0,70.0,13.0,23.0,60.0,34.0,20.0,13.0,31.0,13.0,60.0,27.0,36.0,15.0,58.0,32.0,12.0,68.0,33.0,6.0
D. Keet,27,South Africa,GK ,70,45.0,17.0,41.0,46.0,32.0,30.0,11.0,17.0,22.0,12.0,13.0,71.0,69.0,68.0,67.0,71.0,13.0,16.0,77.0,43.0,13.0,13.0,34.0,14.0,65.0,33.0,37.0,17.0,44.0,27.0,10.0,68.0,42.0,19.0
G. Ortíz,24,Argentina,CB ,70,66.0,72.0,67.0,62.0,43.0,43.0,31.0,32.0,35.0,25.0,28.0,13.0,7.0,11.0,7.0,11.0,65.0,66.0,82.0,66.0,29.0,68.0,46.0,25.0,73.0,59.0,43.0,69.0,74.0,69.0,74.0,74.0,31.0,33.0
M. Volta,30,Italy,CB ,70,55.0,74.0,73.0,54.0,52.0,60.0,43.0,39.0,39.0,22.0,37.0,10.0,9.0,9.0,14.0,7.0,67.0,64.0,87.0,50.0,32.0,70.0,30.0,24.0,66.0,52.0,54.0,70.0,62.0,64.0,73.0,75.0,23.0,24.0
M. Batdal,31,Turkey,ST ,70,45.0,54.0,30.0,36.0,69.0,60.0,41.0,58.0,63.0,72.0,42.0,8.0,12.0,11.0,12.0,8.0,76.0,21.0,34.0,53.0,63.0,31.0,65.0,74.0,71.0,66.0,75.0,21.0,38.0,72.0,32.0,88.0,60.0,70.0
Allan Ardaújo,29,Brazil,CAM ,70,62.0,47.0,68.0,67.0,75.0,62.0,64.0,70.0,66.0,56.0,63.0,9.0,8.0,16.0,9.0,14.0,55.0,42.0,56.0,68.0,59.0,37.0,72.0,65.0,70.0,73.0,66.0,38.0,65.0,69.0,44.0,63.0,74.0,63.0
M. Bero,21,Slovakia,CAM CM RM ,70,77.0,55.0,68.0,68.0,71.0,64.0,63.0,66.0,71.0,65.0,65.0,13.0,9.0,14.0,5.0,7.0,59.0,60.0,63.0,62.0,68.0,58.0,55.0,60.0,67.0,68.0,74.0,50.0,77.0,74.0,59.0,69.0,68.0,70.0
C. Benschop,27,Netherlands,CAM ST ,70,52.0,74.0,53.0,56.0,67.0,68.0,58.0,60.0,66.0,69.0,68.0,15.0,16.0,7.0,9.0,11.0,65.0,29.0,34.0,58.0,66.0,28.0,74.0,68.0,65.0,63.0,83.0,26.0,66.0,62.0,44.0,90.0,66.0,59.0
M. Nyatama,29,South Africa,RW CM CAM ,70,75.0,43.0,61.0,58.0,75.0,66.0,62.0,52.0,72.0,71.0,52.0,14.0,12.0,13.0,8.0,13.0,40.0,30.0,50.0,56.0,70.0,39.0,55.0,62.0,56.0,72.0,70.0,34.0,74.0,70.0,46.0,62.0,66.0,63.0
S. Rosted,22,Norway,CB ,70,67.0,70.0,59.0,56.0,64.0,60.0,30.0,28.0,58.0,25.0,49.0,7.0,10.0,7.0,13.0,13.0,68.0,68.0,75.0,56.0,38.0,71.0,36.0,27.0,68.0,64.0,52.0,65.0,68.0,63.0,67.0,77.0,46.0,31.0
R. Goreux,29,Haiti,RM RB ,70,72.0,81.0,74.0,75.0,68.0,73.0,67.0,68.0,67.0,48.0,66.0,13.0,12.0,11.0,6.0,15.0,58.0,69.0,75.0,64.0,66.0,69.0,58.0,66.0,68.0,67.0,73.0,70.0,71.0,68.0,70.0,62.0,66.0,56.0
J. Mucha,34,Slovakia,GK ,70,41.0,33.0,48.0,52.0,24.0,42.0,15.0,14.0,12.0,13.0,12.0,72.0,69.0,64.0,63.0,74.0,13.0,24.0,71.0,29.0,11.0,12.0,41.0,15.0,71.0,20.0,14.0,13.0,42.0,32.0,14.0,62.0,52.0,12.0
S. Baldock,28,England,CF ST ,70,79.0,47.0,81.0,83.0,73.0,67.0,48.0,65.0,69.0,70.0,62.0,8.0,14.0,13.0,8.0,14.0,59.0,35.0,73.0,37.0,68.0,33.0,68.0,76.0,68.0,49.0,69.0,28.0,81.0,82.0,26.0,60.0,55.0,64.0
K. Laribi,26,Tunisia,CM CAM ,70,79.0,43.0,81.0,82.0,71.0,78.0,60.0,56.0,71.0,55.0,68.0,7.0,12.0,14.0,10.0,14.0,52.0,20.0,69.0,63.0,64.0,20.0,66.0,65.0,67.0,69.0,70.0,26.0,79.0,70.0,32.0,35.0,68.0,50.0
Bruno Nascimento,26,Brazil,CB ,70,61.0,73.0,55.0,56.0,58.0,65.0,36.0,36.0,52.0,42.0,32.0,6.0,11.0,14.0,15.0,9.0,68.0,64.0,81.0,52.0,21.0,66.0,40.0,30.0,66.0,61.0,42.0,65.0,65.0,66.0,74.0,79.0,33.0,35.0
G. Kvilitaia,23,Georgia,ST ,70,82.0,61.0,77.0,73.0,67.0,63.0,49.0,62.0,74.0,70.0,33.0,10.0,5.0,13.0,12.0,9.0,73.0,31.0,73.0,55.0,62.0,35.0,64.0,67.0,60.0,59.0,64.0,33.0,81.0,65.0,31.0,78.0,58.0,55.0
D. Guidileye,27,Mauritania,CM CDM ,70,67.0,79.0,74.0,61.0,65.0,73.0,38.0,55.0,50.0,17.0,54.0,12.0,11.0,10.0,9.0,16.0,46.0,68.0,80.0,65.0,53.0,66.0,32.0,40.0,72.0,70.0,60.0,64.0,70.0,82.0,71.0,74.0,64.0,17.0
J. Busk,23,Denmark,GK ,70,45.0,20.0,30.0,56.0,15.0,26.0,11.0,12.0,15.0,10.0,12.0,73.0,62.0,67.0,66.0,75.0,10.0,29.0,56.0,22.0,14.0,14.0,12.0,12.0,66.0,24.0,25.0,14.0,42.0,32.0,12.0,64.0,58.0,18.0
J. Fojut,29,Poland,CB ,70,51.0,77.0,54.0,40.0,51.0,75.0,41.0,31.0,28.0,20.0,55.0,6.0,16.0,12.0,6.0,6.0,69.0,72.0,85.0,61.0,55.0,64.0,39.0,46.0,62.0,58.0,68.0,63.0,58.0,62.0,69.0,82.0,35.0,41.0
R. Marin,21,Romania,CDM CAM CM ,70,67.0,57.0,68.0,70.0,72.0,65.0,70.0,70.0,74.0,64.0,73.0,11.0,14.0,6.0,8.0,8.0,55.0,61.0,52.0,68.0,68.0,53.0,68.0,67.0,63.0,71.0,74.0,52.0,63.0,70.0,56.0,65.0,72.0,62.0
M. Brighi,36,Italy,CDM CM ,70,54.0,68.0,56.0,76.0,71.0,74.0,64.0,68.0,66.0,50.0,64.0,15.0,10.0,9.0,12.0,5.0,68.0,68.0,71.0,70.0,64.0,54.0,68.0,68.0,70.0,74.0,70.0,58.0,53.0,63.0,56.0,71.0,74.0,66.0
S. Breitkreuz,25,Germany,CB ,70,54.0,72.0,61.0,56.0,52.0,70.0,40.0,33.0,50.0,56.0,35.0,13.0,9.0,7.0,10.0,9.0,75.0,65.0,80.0,44.0,46.0,67.0,60.0,48.0,61.0,55.0,75.0,70.0,72.0,65.0,69.0,77.0,42.0,32.0
R. Himmelmann,28,Germany,GK ,70,33.0,21.0,44.0,44.0,27.0,48.0,11.0,18.0,18.0,9.0,16.0,67.0,64.0,61.0,70.0,75.0,13.0,22.0,68.0,21.0,7.0,10.0,20.0,13.0,69.0,32.0,22.0,12.0,34.0,29.0,17.0,61.0,39.0,10.0
S. Ay,25,Turkey,CB ,70,66.0,78.0,58.0,58.0,51.0,39.0,49.0,26.0,42.0,33.0,36.0,12.0,12.0,10.0,9.0,11.0,74.0,70.0,78.0,59.0,43.0,67.0,53.0,41.0,60.0,61.0,64.0,66.0,66.0,75.0,69.0,76.0,33.0,24.0
A. Toşca,25,Romania,LB CB ,70,74.0,62.0,67.0,61.0,62.0,60.0,61.0,39.0,52.0,46.0,34.0,13.0,6.0,12.0,12.0,12.0,64.0,69.0,57.0,62.0,42.0,72.0,41.0,54.0,67.0,68.0,44.0,74.0,73.0,64.0,70.0,71.0,54.0,43.0
G. Leadbitter,31,England,CM CDM ,70,63.0,73.0,64.0,69.0,72.0,71.0,72.0,67.0,59.0,62.0,68.0,16.0,8.0,6.0,6.0,8.0,58.0,65.0,73.0,70.0,70.0,68.0,75.0,64.0,66.0,73.0,72.0,65.0,57.0,71.0,69.0,72.0,72.0,55.0
Y. Komai,25,Japan,CM RM ,70,84.0,46.0,80.0,88.0,66.0,57.0,71.0,55.0,76.0,61.0,50.0,9.0,7.0,5.0,11.0,14.0,39.0,34.0,74.0,52.0,68.0,24.0,59.0,65.0,61.0,68.0,64.0,32.0,76.0,81.0,31.0,45.0,59.0,53.0
J. John,28,Netherlands,LW LM ,70,86.0,59.0,90.0,74.0,70.0,69.0,69.0,65.0,71.0,62.0,45.0,6.0,12.0,16.0,14.0,12.0,53.0,26.0,64.0,53.0,63.0,24.0,62.0,65.0,68.0,65.0,65.0,30.0,91.0,60.0,27.0,38.0,65.0,63.0
D. Verhulst,29,Belgium,GK ,70,23.0,38.0,28.0,53.0,30.0,46.0,12.0,9.0,14.0,12.0,14.0,71.0,69.0,70.0,69.0,70.0,13.0,16.0,58.0,26.0,13.0,11.0,29.0,14.0,66.0,27.0,13.0,15.0,26.0,18.0,12.0,72.0,42.0,14.0
