shirt_no.,name,jersey_name,position,birthdate,team,club,club_country
23,Muhammed Badamosi,M. Badamosi,FW,27.12.1998,Gambia,AL HAZEM,Arabie Saoudite
24,Ebrima Darboe,E. Darboe,MF,06.06.2001,Gambia,LASK LINZ FC,Autriche
25,Bubacarr Sanneh,B Sanneh,DF,14.11.1994,Gambia,zvijeda,Bosnie-Herzégovine
26,Ali Sowe,A. Sowe,FW,14.06.1994,Gambia,Ankaraguçu,Turquie
27,Yusupha Bobb,Y. Bobb,MF,22.06.1996,Gambia,Unattached,Gambie
1,Richard Ofori,OFORI,GK,01.11.1993,Ghana,Orlando Pirates FC,"Afrique Du
Sud"
2,Alidu Seidu,A. SEIDU,DF,04.06.2000,Ghana,Clermont Foot 63,France
3,Denis Frimpong Odoi,ODOI,DF,27.05.1988,Ghana,Club Brugge KV,Belgique
4,Opoku Nicholas,N. OPOKU,DF,11.08.1997,Ghana,Amiens SC,France
5,Schindler Kingsley,SCHINDLER,DF,12.07.1993,Ghana,SAMSUNSPOR,Turquie
6,Mohammed Salisu Abdul Karim,M. SALISU,DF,17.04.1999,Ghana,AS MONACO,France
7,Ransford-Yeboah Konigsdoffer,Konigsdoffer,FW,13.09.2001,Ghana,HAMBURGER SV,Allemagne
8,Ashimeru Majeed,ASHIMERU,MF,10.10.1997,Ghana,ANDERLECHT,Belgique
9,Jordan Pierre Ayew,J. AYEW,FW,11.09.1991,Ghana,"CRYSTAL PALACE FC
",Angleterre
10,Andre Morgan Rami Ayew,A. AYEW,MF,17.12.1989,Ghana,LE HAVRE AC,France
11,Osman Bukari,BUKARI,MF,13.12.1998,Ghana,Red Star,Serbie
12,Joseph Luke Wollacot,WOLLACOT,GK,08.09.1996,Ghana,Hibernian FC,Écosse
13,Paintsil Joseph,Paintsil,MF,01.02.1998,Ghana,K.R.C. Genk.,Belgique
14,Gideon Mensah,G. MENSAH,DF,18.07.1998,Ghana,AJ.AUXERRE,France
15,Elisha Owusu,Owusu,DF,07.11.1997,Ghana,AJ.AUXERRE,France
16,Lawrence Ati Zigi,ATI-ZIGI,GK,29.11.1996,Ghana,FC ST GALLEN,Suisse
17,Hamidu Abdul Fatawu,HAMIDU,DF,04.03.1999,Ghana,MEDEAMA SC,Ghana
18,Daniel Amartey,AMARTEY,DF,21.12.1994,Ghana,Besiktas JK,Turquie
19,Inaki Williams Arthuer,WILLIAMS,FW,15.06.1994,Ghana,ATHLETIC CLUB,Espagne
20,Mohamed Kudus,KUDUS,MF,02.08.2000,Ghana,"WESTHAM UNITED FC
",Angleterre
21,Salis Abdul Samed,SALIS,MF,26.03.2000,Ghana,RC Lens,France
22,Richmond Lamptey,R. LAMPTEY,MF,18.03.1997,Ghana,ASANTE KOTOKO SC,Ghana
23,"Alaxander Kwabena Baidooh
Djiku",DJIKU,DF,09.08.1994,Ghana,FERNABACH,Turquie
24,Ernest Nuamah Appiah,NUAMAH,MF,01.11.2003,Ghana,OLYMPIQUE LYONNAIS,France
25,Antoine Serlom Semenyo,SEMENYO,FW,07.01.2000,Ghana,Bournemouth FC,Angleterre
26,Iddrisu Baba Mohammed,B. IDDRISU,MF,22.01.1996,Ghana,U.D. ALMERIA,Espagne
27,Jonathan Sowah,SOWAH,FW,01.01.1999,Ghana,MEDEAMA SC,Ghana
1,Jonas Asvedo Mendes,JONAS MENDES,GK,20.11.1989,Guinea Bissau,kalamata fc,Grèce
2,Fali Cande,FALI CANDE,DF,24.01.1998,Guinea Bissau,FC METZ,France
3,Franculino Gluda Dju,FRANCULINO,FW,28.06.2004,Guinea Bissau,FC Midtjylland,Danemark
4,Marcelo Amado Djalo Taritolay,MARCELO DJALO,DF,08.10.1993,Guinea Bissau,ATHLETICO PALENCIA,Espagne
6,Fernando De Lacerda Gomes,NITO GOMES,MF,03.02.2002,Guinea Bissau,CS MARITIMO,Portugal
7,Eucidalcio Gomes,DALCIO GOMES,FW,22.05.1996,Guinea Bissau,APOEL F.C,Chypre
8,Alfa Semedo Esteves,ALFA SEMEDO,MF,30.08.1997,Guinea Bissau,Al Tai,Arabie Saoudite
9,Zinho Gano,ZINHO GANO,FW,13.10.1993,Guinea Bissau,SV ZULTE WAREGEM,Belgique
10,Carlos Manuel Cardoso Mane,CARLOS MANE,MF,11.03.1994,Guinea Bissau,Kayserispor,Turquie
11,Marciano Sanca Tchami,MARCIANO TCHAMI,FW,04.03.2004,Guinea Bissau,ALMERIA,Espagne
12,Ouparine Djoco,OUPARINE,GK,22.04.1998,Guinea Bissau,FRANCS BORAINS,Belgique
13,Carlos Mendes Gomes,CARLOS GOMES,MF,14.11.1998,Guinea Bissau,BOLTON,Angleterre
14,Mauro Daniel Rodrigues Teixeira Mauro Teixeira,MAURO DANIEL RODRIGUES TEIXEIRA MAURO TEIXEIRA,FW,15.04.2001,Guinea Bissau,YVERDON SPORT FEMIN,Suisse
15,Jefferson Anilson Silva Encada,J. ENCADA,DF,17.04.1998,Guinea Bissau,Pharco FC,Égypte
16,Moreto Moro Cassama,MORETO,MF,16.02.1998,Guinea Bissau,Omonia Ncosia,Chypre
17,Mama Samba Balde,MAMA BALDE,FW,06.11.1995,Guinea Bissau,FC LYON,France
18,Famana Quizera,FAMANA QUIZERA,FW,25.04.2002,Guinea Bissau,Academica de Viseu,Portugal
19,Janio Bikel Figueiredo Da Silva,JANIO BIKEL,MF,28.06.1995,Guinea Bissau,GAZIANTEP FK,Turquie
20,Mané Manconi Soriano,S. MANE,DF,03.04.1996,Guinea Bissau,Academica de Viseu,Portugal
21,Eulanio Angelo Chipela Gomes,NANU,DF,17.05.1994,Guinea Bissau,SAMSUNSPOR,Turquie
22,Opa Sangante,OPA SANGANTE,DF,01.02.1991,Guinea Bissau,US Dunkerque,France
23,Fernando Embadje,EMBADJE,GK,06.07.2003,Guinea Bissau,"CLUB DEPORTIVO LUGO
",Espagne
24,Jose Correia,ZE TURBO,FW,22.10.1996,Guinea Bissau,PARI N N,Russie
25,Edgar Miguel Ie,EDGAR IÉ,DF,01.05.1994,Guinea Bissau,Basaksehir,Turquie
26,Zidane Agustini Banjaqui,ZIDANE BANJAQUI,FW,15.12.1998,Guinea Bissau,Feirense,Portugal
27,Prosper Mendy,PROSPER,DF,07.06.1996,Guinea Bissau,Charleroi,Belgique
1,Aly Keita,A. KEITA,GK,08.12.1986,Guinea,Ostersunds,Suède
2,Antoine Conte,A. CONTE,DF,29.01.1994,Guinea,Botev Plovdiv FC,Bulgarie
3,Issiaga Sylla,SYLLA,DF,01.01.1994,Guinea,Montpellier HSC,France
4,Saidou Sow,SOW,DF,04.07.2002,Guinea,"Racing Club de Strasbourg FC
",France
5,Mouctar Diakhaby,M. DIAKHABY,DF,19.12.1996,Guinea,FC VALENCE,Espagne
6,Amadou Diawara,A.DIAWARA,MF,17.07.1997,Guinea,RSC ANDERLECHT,Belgique
7,Morgan Bono Guilavogui,M. GUILAVOGUI,FW,10.03.1998,Guinea,RC Lens,France
8,Naby Deco Keita,KEITA,MF,10.02.1995,Guinea,WERDER DE BREME,Allemagne
9,Serhou Yadaly Guirassy,S. GUIRASSY,FW,12.03.1996,Guinea,Stuttgart VFB,Allemagne
10,Moriba Kourouma,KOUROUMA,MF,19.01.2003,Guinea,RB Leipzig,Allemagne
11,Mohamed Bayo,M. BAYO,FW,04.06.1998,Guinea,LE HAVRE AC,France
12,Ibrahim Diakite,I. DIAKITE,DF,31.10.2003,Guinea,STADE DE REIMS,France
13,Mohamed Ali Camara,M.A CAMARA,DF,28.08.1997,Guinea,Young Boys,Suisse
14,Karim Cisse,K. CISSE,MF,14.11.2004,Guinea,AS SAINT ETIENNE,France
15,Seydouba Cisse,S. CISSE,MF,10.02.2001,Guinea,"Club Deportivo Leganés
",Espagne
16,Moussa Camara,M. CAMARA,GK,27.11.1998,Guinea,"HOROYA ATHLETIC CLUB
",Guinée
17,Julian Marc Jeanvier,JEANVIER,DF,31.03.1992,Guinea,Kayserispor,Turquie
18,Aguibou Camara,AGUIBOU,MF,20.05.2001,Guinea,Atromitos,Grèce
19,François Kamano,F. KAMANO,FW,02.05.1996,Guinea,Abha FC,Arabie Saoudite
20,Mory Konate,KONATE,MF,15.11.1993,Guinea,KV MECHELEN,Belgique
21,Sekou Oumar Sylla,S. SYLLA,DF,09.01.1999,Guinea,SC CAMBUUR,Pays-Bas
22,Ibrahim Kone,KONE,GK,05.12.1989,Guinea,Hibernians FC,Malte
23,Abdoulaye Toure,A. TOURE,MF,03.03.1994,Guinea,LE HAVRE AC,France
24,Jose Martinez Kante,J. KANTE,FW,27.09.1990,Guinea,Urawa Red Diamonds,Japon
25,Facinet Conte,F. CONTE,FW,24.03.2005,Guinea,SC BASTIA,France
1,Ismael Diarra Diawara,I DIAWARA,GK,11.11.1994,Mali,MALMÔ,Suède
2,Hamari Traore,H TRAORE,DF,27.01.1992,Mali,Real Sociedad,Espagne
3,Amadou Dante,DANTE,DF,07.10.2000,Mali,Sturm Graz,Autriche
4,Amadou Haidara,A HAIDARA,MF,31.01.1998,Mali,RB Leipzig,Allemagne
5,Boubacar Kiki Kouyate,KIKI,DF,15.04.1997,Mali,MHSC MONTPELLIER,France
6,Sikou Niakate,S NIAKATE,DF,10.07.1999,Mali,S.C. BRAGA,Portugal
7,Moussa Doumbia,DOUMBIA,FW,15.08.1994,Mali,AL ADALAH CLUB,"Arabie
Saoudite"
8,Diadie Samassekou,SAMASSEKOU,MF,11.01.1996,Mali,HOFFENHEIM,Allemagne
9,Ibrahim Sissoko,I SISSOKO,FW,27.11.1995,Mali,AS SAINT ETIENNE,France
10,Yves Bissouma,BISSOUMA,MF,30.08.1996,Mali,TOTTENHAM,Angleterre
11,Lassana Coulibaly,L COULIBALY,MF,10.04.1996,Mali,SALERNITANA,Italie
12,Mohamed Camara,CAMARA,MF,06.01.2000,Mali,AS MONACO,France
13,Moussa Diarra,M DIARRA,DF,10.11.2000,Mali,Toulouse FC,France
14,Ckene Doucoure,C DOUCOURE,FW,08.04.2002,Mali,LORIENT,France
15,Mamadou Fofana,FOFANA,DF,21.01.1998,Mali,Amiens SC,France
16,Djigui Diarra,DJIGUI,GK,27.02.1995,Mali,YOUNG AFIRCANS SC,Tanzanie
17,Falaye Sacko,F SACKO,DF,01.05.1995,Mali,MONPELLIER,France
18,Youssoufou Niakate Niakate,Y NIAKATE,FW,16.12.1992,Mali,Bani Yas FC,"Émirats arabes
unis"
19,Fousseni Diabate,DIABATE,FW,18.10.1995,Mali,LAUSANE SPORT,Suisse
20,Sekou Koita,S KOITA,FW,28.11.1999,Mali,RED BULL SALZBURG,Autriche
21,Adama Traore,NOSS,MF,28.06.1995,Mali,Hull City Tigers,Angleterre
22,Aboubacar Doumbia,A DOUMBIA,GK,21.11.1995,Mali,AFE,Mali
23,Aliou Dieng,DIENG,MF,16.10.1997,Mali,AL ALHY,Égypte
24,Boubacar Traore,B TRAORE,MF,20.08.2001,Mali,WOLVERHAMPTON,Angleterre
25,Lassine Fanta Mady Sinayoko,SINAYOKO,FW,08.12.1999,Mali,AJ Auxerre,France
26,Kamory Doumbia,KAMORY,MF,18.02.2003,Mali,STADE BRESTOIS,France
27,Nene Dorgeles,DORGELES,FW,23.12.2002,Mali,RED BULL SALZBURG,Autriche
1,Yassine Bounou,BONO,GK,05.04.1991,Maroc,Al Hilal SFC,Arabie Saoudite
2,Achraf Hakimi,HAKIMI,DF,04.11.1998,Maroc,PSG,France
3,Noussair Mazraoui,MAZRAOUI,DF,14.11.1997,Maroc,FC Bayern Munich,Allemagne
4,Sofyan Amrabat,AMRABAT,MF,21.08.1996,Maroc,Manchester Utd.,Royaume-Uni
5,Nayef Aguerd,AGUERD,DF,30.03.1996,Maroc,West Ham United,"Royaume-
Uni"
6,Ghanem Saiss,SAISS,DF,26.03.1990,Maroc,Al-Shabab FC,Arabie Saoudite
7,Hakim Ziyach,ZIYECH,MF,19.03.1993,Maroc,Galatasaray SK,Turquie
8,Azz-Eddine Ounahi,Ounahi,MF,19.04.2000,Maroc,"OLYMPIQUE DE MARSEILLE
",France
9,Tarik Tissoudali,TISSOUDALI,FW,02.04.1993,Maroc,KAA GENT,Belgique
10,Amine Harit,HARIT,MF,18.06.1997,Maroc,"OLYMPIQUE DE MARSEILLE
",France
11,Ismael Saibari,SAIBARI,MF,28.01.2001,Maroc,PSV EINDHOVEN,Pays-Bas
12,Monir El Kajoui,El KAJOUI,GK,10.05.1989,Maroc,Al-Wehda FC,Arabie Saoudite
13,Yunis Abdelhamid,ABDELHAMID,DF,28.09.1987,Maroc,STADE RENNAIS FC,France
14,Oussama El Azzouzi,El AZZOUZI,MF,29.05.2001,Maroc,Bologna FC,Italie
15,Selim Amallah,AMALLAH,MF,15.11.1996,Maroc,FC Valencia,Espagne
16,Abdessamad Ezzalzouli,Ezzalzouli,MF,17.12.2001,Maroc,Real Betis,Espagne
17,Sofiane Boufal,BOUFAL,MF,17.09.1993,Maroc,Al-Rayyan SC,Qatar
18,Abdelkabir Abqar,ABQAR,DF,10.03.1999,Maroc,Deportivo Alavés,Espagne
19,Youssef En-Nesyri,EN-NESYRI,FW,01.06.1997,Maroc,FC SEVILLE,Espagne
20,Ayoub El Kaabi,EL KAABI,FW,25.06.1993,Maroc,OLYMPIACOS FC,Grèce
21,Amine Adli,ADLI,FW,10.05.2000,Maroc,"BAYER LEVERKUSEN
",Allemagne
22,El Mehdi Benabid,BENABID,GK,24.01.1998,Maroc,ASFAR ,"ASSOCIATION SPORTIVE
DES FORCES ARMÉES ROYA
(Maroc"
23,Bilal El Khannouss,El Khannouss,MF,10.05.2004,Maroc,K.R.C. Genk.,Belgique
24,Michael Amir Junior Richardson,RICHARDSON,MF,24.01.2002,Maroc,Stade de Reims,France
25,Yahya Attiat Allah El Idrissi,ATTIAT-ALLAH,DF,02.03.1995,Maroc,WAC CASABLANCA,Maroc
26,Chadi Riad,RIAD,DF,17.06.2003,Maroc,Real Betis,Espagne
27,Mohamed Chibi,CHIBI,DF,21.01.1993,Maroc,Pyramids FC,Égypte
1,Namori Diaw,NAMORI.D,GK,30.12.1994,Mauritania,EN AVANT GUINGAMP,France
2,Diaw Khadim,DIAW,DF,07.07.1998,Mauritania,AL HILAL FC,Soudan
3,Abeid Aly,ALY ABEID,DF,11.12.1997,Mauritania,FC UTA ARAD,Roumanie
4,Omare Gassama,GASSAMA,MF,01.09.1995,Mauritania,CHATEAUROUX,France
5,Ba Lamine,BA,DF,24.08.1997,Mauritania,NK VARAZDIN SN,Croatie
6,Fofana Gussouma,GUESS,MF,17.12.1992,Mauritania,DOXA KATAKOPIAS,Chypre
7,Ba Al Hadji,E.BA,MF,05.03.1993,Mauritania,FC Nouadhibou,Mauritanie
8,Bodda Mouhsine,MOHSEN,MF,18.07.1997,Mauritania,FC Nouadhibou,Mauritanie
9,Hemeya Tanji,H. TANJY,FW,01.05.1998,Mauritania,Itihad Tripoli,Libye
10,Idrissa Thiam,IDRISSA,MF,02.09.2000,Mauritania,AL MESAIMEER,Qatar
11,Anne Souleymane,ANNE,FW,05.12.1997,Mauritania,KMSK DEINZE,Belgique
12,Camara Bakari,B. CAMARA,MF,04.01.1994,Mauritania,"VILLEFRANCHE BEAUJOLAIS
",France
13,Nouh Mohamed El Abd,NOUH,DF,24.12.2000,Mauritania,FC Nouadhibou,Mauritanie
14,Mohamed Dellah Yaly,Y. DELLAHI,DF,01.11.1997,Mauritania,AL-HEDOOD,Irak
15,Doukara Souleymane,DOUKARA,FW,29.09.1991,Mauritania,MAGUSA TURC GUCU,Turquie
16,Niasse Babacar,NIASSE,GK,20.12.1996,Mauritania,EA GUINGAMP,France
17,Abdallahi Mahmoud,M. ABDALLAHI,MF,04.05.2000,Mauritania,AC BELLINZONA,Suisse
18,Sidi Ahmed Mohamed El Abd,SID'AHMED,MF,05.05.2001,Mauritania,FC Nouadhibou,Mauritanie
19,Aboubakary Koita,KOITA,FW,20.09.1998,Mauritania,Saint Trond,Belgique
20,Keita Ibrahima,IBRAHIMA.K,DF,08.01.2001,Mauritania,FCF TP MAZEMBE,R.D. Congo
21,El Hassen Houeibib,EL HASSEN.H,DF,31.10.1993,Mauritania,Al Zawraa SC,Irak
22,N'Diaye M'Backé,M'BACKÉ N.,GK,19.12.1994,Mauritania,"NOUAKCHOTT KINGS
",Mauritanie
23,Sidi Bouna Amar Sidi Amar,BOUNA,FW,31.12.1998,Mauritania,FC Nouadhibou,Mauritanie
24,Bakary N�Diaye,B. NDIAYE,DF,26.11.1998,Mauritania,AL KUWA AL JAWIYA,Irak
25,Ba Papa Ibnou,IBNOU BA,FW,05.01.1993,Mauritania,CONCARNEAU FC,France
26,Oumar Jacky Ngom,NGOM,MF,09.03.2004,Mauritania,FC PAU,France
27,Aboubakar Kamara,A. KAMARA,FW,07.03.1995,Mauritania,AL JAZIRA,Émirats arabes unis
1,Ernan Alberto Siluane,E.Siluane,GK,09.07.1998,Mozambique,"Uniao Desportiva de Songo
",Mozambique
2,Infren Matola,Nanana,DF,08.02.1996,Mozambique,"Uniao Desportiva de Songo
",Mozambique
3,David Malembana,Malembana,DF,11.10.1995,Mozambique,FC Noah,Arménie
4,Feliciano Joao Jone,Nene III,DF,15.11.1996,Mozambique,ABB,Mozambique
5,Bruno Alberto Langa,Bruno Langa,DF,31.10.1997,Mozambique,GD Chaves,Portugal
6,Amade Momade,Amadou,MF,03.12.1996,Mozambique,"Uniao Desportiva de Songo
",Mozambique
7,Elias Gaspar Pelembe,Pelembe,MF,13.11.1983,Mozambique,UDS,Mozambique
8,Edmilson Gabriel Dove,Dove,DF,18.07.1994,Mozambique,Kaizer Chiefs FC,"Afrique Du
Sud"
9,Pachoio Lau Ha King,Lau King,FW,04.09.1995,Mozambique,"União Desportiva do Songo
",Mozambique
10,Clesio Palmirim David Bauque,Clesio,FW,11.10.1994,Mozambique,FC HONKA,Finlande
11,Joao Jose Jone Bonde,J. Bonde,FW,09.01.1997,Mozambique,"CLUBE FERROVIARIO DA BEIRA
",Mozambique
12,Fasistencio Maria Faza Joao,Fazito,GK,09.06.2003,Mozambique,"CLUBE FERROVIARIO DE
NAMPULA",Mozambique
13,Stanley Ratifo,Ratifo,FW,05.12.1994,Mozambique,CfR Pforzheim,Allemagne
14,Domingos Joao Macandza,Macandza,DF,17.06.1998,Mozambique,CD Costa do Sol,Mozambique
15,Renildo Isnard Mandava,Reinildo,DF,21.01.1994,Mozambique,Atletico Madrid,Espagne
16,Alfonso Antonio Chico Amade,Amade,DF,12.11.1999,Mozambique,KV Oostende FC,Belgique
17,Edson Andre Sitoe,Mexer,DF,08.09.1988,Mozambique,Bandirmapor,Turquie
18,Gildo Lourenco Vilanculos,Gildo,MF,31.01.1995,Mozambique,"Sporting Club de Covilha
",Portugal
19,Witiness Chimoio Quembo,Witi,FW,26.08.1996,Mozambique,CD Nacional,Portugal
20,Geny Cipriano Catamo,Geny,FW,26.01.2001,Mozambique,Sporting CP,Portugal
21,Ricardo Martins Guimaraes,Guima,MF,14.11.1995,Mozambique,GD Chaves,Portugal
22,"Ivane Carminio Francisco
Oficial Urrubal",C. Urrubal,GK,03.01.1997,Mozambique,ABB,Mozambique
23,"Shaquille Momad Da Conceicao
Nangy",Nangy,MF,24.11.1997,Mozambique,"Clube Ferroviario de Maputo
",Mozambique
1,Loydt Kazapua,Kazapua,GK,25.03.1989,Namibia,Chippa United,Afrique Du Sud
2,Denzil Haoseb,HJaoseb,DF,25.02.1991,Namibia,Khomas Nampol FC,Namibie
3,Ananias Gebhardt,Gebhardt,DF,08.09.1988,Namibia,Baroka FC,Afrique Du Sud
4,Hanamub Welwin Riaan Hanamub,Hanamub,DF,08.02.1995,Namibia,Amazulu FC,Afrique Du Sud
5,Vetunuavi Charles Hambira,Hambira,DF,13.06.1990,Namibia,African Stars FC,Namibie
6,Ngero Kaanjuka Katua,Katua,MF,25.07.2001,Namibia,UNAM FC,Namibie
7,Deon Daniel Hotto,Hotto,MF,29.10.1990,Namibia,Orlando Piates,Afrique Du Sud
8,Uetuuru Kambato,Kambato,FW,24.01.1998,Namibia,African Stars FC,Namibie
9,Muzeu Betuel Muzeu,Muzeu,FW,22.02.2000,Namibia,Black Leopards,Afrique Du Sud
10,Prins Menelik Tjiueza,Tjiueza,MF,12.03.2002,Namibia,KF Liria Prizren,Serbie
11,Absalom Manjana Iimbondi,Iimbondi,MF,11.10.1991,Namibia,Khomas Nampol FC,Namibie
12,Kennedy Given-Love Amutenya,Amutenya,DF,15.07.1995,Namibia,Gaborone United FC,Botswana
13,Peter Taanyanda Shalulile,Shalulile,FW,23.10.1993,Namibia,Mamelodi Sundown,"Afrique Du
Sud"
14,Joslin Kamatuka,Kamatuka,MF,22.07.1991,Namibia,Maritzburg United,"Afrique Du
Sud"
15,Mariine Marcel Papama,Papama,MF,28.04.1996,Namibia,Jwaneng Galaxy,Botswana
16,Kamaijanda Ndisiro,Ndisiro,GK,12.01.1999,Namibia,African Stars,Namibie
17,Rudath Wendell,Wendell,MF,07.10.1995,Namibia,Jwaneng Galaxy FC,Botswana
18,Aprocius Megameno Petrus,Petrus,DF,09.10.1999,Namibia,KF Liria Prizren,Serbie
19,Petrus Shitembi,Shitembi,MF,11.05.1992,Namibia,Kuching City,Malaisie
20,Ivan Kamberipa,Kamberipa,DF,03.02.1994,Namibia,Orapa FC,Botswana
21,Lubeni Pombili Haukongo,Hukongo,DF,24.09.2000,Namibia,Cape Town Spurs FC,"Afrique
Du Sud"
22,Ryan Nyambe,Nyambe,DF,04.12.1997,Namibia,Derby County,Angleterre
23,Edward Maova,Maova,GK,05.09.1994,Namibia,Pretoria Callies FC,"Afrique Du
Sud"
1,Francis Odinaka Uzoho,Uzoho,GK,28.10.1998,Nigeria,Omonia FC,Chypre
2,"Temitayo Olufisayo Olaoluwa
Aina",Aina,DF,08.10.1996,Nigeria,Nottingham Forest,Angleterre
3,Zaidu Sanusi,Zaidu,DF,13.06.1997,Nigeria,FC PORTO,Portugal
4,Alhassan Yusuf Abdullahi,Yusuf,MF,20.07.2000,Nigeria,ROYAL ANTWERP,Belgique
5,William Paul Ekong,Ekong,DF,01.09.1993,Nigeria,Paok C,Grèce
6,Ajayi Oluwasemilogo Adesewo,Ajayi,DF,09.11.1993,Nigeria,WEST BROMICH,Angleterre
7,Ahmed Musa,Musa,FW,14.10.1992,Nigeria,Sivasspor k,Turquie
8,Ogochukwu Frank Onyeka,Onyeka,MF,01.01.1998,Nigeria,Brentford FC,Angleterre
9,Victor James Osimhen,Osimhen,FW,29.12.1998,Nigeria,SSC Napoli,Italie
10,"Ayodele-Aribo Temitope Joseph
Oluwaseyi",Aribo,MF,21.07.1996,Nigeria,SOUTHAMPTON FC,Angleterre
11,Samuel Chimerenka Chukwueze,Chukwueze,FW,22.05.1999,Nigeria,AC MILAN,Italie
12,Samuel Osayi Bright,Osayi,DF,31.12.1997,Nigeria,"FENERBACHCE S,K",Turquie
13,"Onyemaechi Sopuruchukwu
Bruno",Bruno,DF,03.04.1999,Nigeria,Boavista FC,Portugal
14,Iheanacho Kelechi Promise,Iheanacho,FW,03.10.1996,Nigeria,LEICESTER CITY FC,Angleterre
15,Moses Daddy Simon,Simon,FW,12.07.1995,Nigeria,FC NANTES,France
16,Ojo Olorunleke Oluwasegun,Olorunleke,GK,17.08.1995,Nigeria,"Enyimba International FC
",Nigeria
17,Alexander Chuka Iwobi,Iwobi,MF,03.05.1996,Nigeria,Fulham FC,Angleterre
18,Ademola Olajide Lookman,Lookman,FW,20.10.1997,Nigeria,Atalanta BC,Italie
19,Sadiq Umar,Sadiq,FW,02.02.1997,Nigeria,Real Sociedad,Espagne
20,Awaziem Chidozie Collins,Awaziem,DF,01.01.1997,Nigeria,Boavista FC,Portugal
21,Calvin Chinedu Ughelumba,Calvin,DF,31.12.1999,Nigeria,Fulham FC,Angleterre
22,Kenneth Josiah Omeruo,Omeruo,DF,17.10.1993,Nigeria,Kasimpasa FC,Turquie
23,Stanley Bobo Nwabali,Nwabali,GK,10.06.1996,Nigeria,Chippa United,Afrique Du Sud
24,Victor Okoh Boniface,Boniface,FW,23.12.2000,Nigeria,"BAYER LEVERKUSEN
",Allemagne
25,Nwadike Raphael Onyedika,Onyedika,MF,19.04.2001,Nigeria,Club Brugge,Belgique
1,Seny Timothy Dieng,SENY,GK,23.11.1994,Senegal,Middlesbrough FC,Angleterre
2,Formose Mendy,F. MENDY,DF,02.01.2001,Senegal,FC LORIENT,France
3,Kalidou Koulibaly,KOULIBALY,DF,20.06.1991,Senegal,AL-HILAL FC,Arabie Saoudite
4,Abdoulaye Seck,A. SECK,DF,04.06.1992,Senegal,,
5,Idrissa Gana Gueye,GANA,MF,26.09.1989,Senegal,EVERTON FC,Angleterre
6,Nampalys Mendy,N. MENDY,MF,23.06.1992,Senegal,Racing Club De Lens,France
7,Nicolas Jackson,N. JACKSON,FW,20.06.2001,Senegal,CHELSEA FC,Angleterre
8,Cheikhou Kouyate,KOUYATE,MF,21.12.1989,Senegal,Nottingham Forest,Angleterre
9,Boulaye Dia,B. DIA,FW,16.11.1996,Senegal,SALERNITANA,Italie
10,Sadio Mane,MANE,MF,10.04.1992,Senegal,AL NASSR,Arabie Saoudite
11,Ismaila Pathe Ciss,PATHE CISS,MF,16.03.1994,Senegal,RAYO VALLECANO,Espagne
12,Fode Ballo,B.TOURE,DF,03.01.1997,Senegal,FULHAM,Angleterre
13,Iliman Cheikh Baroy Ndiaye,NDIAYE,FW,06.03.2000,Senegal,Marseille,France
14,Ismail Joshua Jakobs,JAKOBS,DF,17.08.1999,Senegal,AS MONACO,France
15,Krepin Diatta,DIATTA,MF,25.02.1999,Senegal,AS MONACO,France
16,Edouard Mendy,MENDY,GK,01.03.1992,Senegal,al ahli,Arabie Saoudite
17,Pape Matar Sarr,P. M. SARR,MF,14.09.2002,Senegal,TOTTENHAM,Angleterre
18,Ismaila Sarr,SARR,FW,25.02.1998,Senegal,Marseille,France
19,Moussa Niakhate,NIAKHATE,DF,08.03.1996,Senegal,Nottingham Forest,Angleterre
20,Mouhamadou Habibou Diallo,H. DIALLO,FW,18.06.1995,Senegal,Al Shabab,Arabie Saoudite
21,Youssouf Sabaly,SABALY,DF,05.03.1993,Senegal,BETIS SEVILLE,Espagne
22,Abdou Lakhad Diallo,DIALLO,DF,04.05.1996,Senegal,AL Arabi,Qatar
23,Mory Diaw,DIAW,GK,22.06.1993,Senegal,Clermont Ferrand,France
24,Abdallah Dipo Sima,SIMA,FW,17.06.2001,Senegal,RANGERS FC,Écosse
25,Lamine Camara,LAMINE,MF,01.01.2004,Senegal,FC METZ,France
26,Pape Alassane Gueye,GUEYE,MF,24.01.1999,Senegal,Marseille,France
27,Abdoulaye Niakhate Ndiaye,A. N. NDIAYE,DF,10.04.2002,Senegal,FC TROYES,France
1,Ronwen Hayden Williams,Williams,GK,21.01.1992,South Africa,Mamelodi Sundowns,"Afrique Du
Sud"
2,Nyiko Sydney Mobbie,Mobbie,DF,11.09.1994,South Africa,Sekhukhune United,"Afrique Du
Sud"
3,Terrence Mashego,Mashego,DF,28.06.1996,South Africa,Mamelodi Sundowns FC,"Afrique
Du Sud"
4,Teboho Mokoena,Mokoena,MF,24.01.1997,South Africa,sund,Afrique Du Sud
5,Siyanda Xulu,Xulu,DF,30.12.1991,South Africa,Supersport United,"Afrique Du
Sud"
6,Aubrey Maphosa Modiba,Modiba,DF,22.07.1995,South Africa,Mamelodi Sundowns FC,"Afrique
Du Sud"
7,Oswin Reagan Appollis,Appollis,FW,25.08.2001,South Africa,Polokwane City,"Afrique Du
Sud"
8,Jayden Oswin Adams,Adams,MF,05.05.2001,South Africa,Stellenboch FC,Afrique Du Sud
9,Evidence Makgopa,Makgopa,FW,05.06.2000,South Africa,Orlando Pirates,"Afrique Du
Sud"
